airport_code,viz_count,avg_visibility,median_visibility,max_visibility,min_visibility,std_visibility,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),WAAS CHANNEL #
KCYS,6,4.833333333333333,4.0,10.0,0.75,3.9232214654116415,CHEYENNE RGNL/JERRY OLSON FIELD,CHEYENNE,WY,RNAV (GPS) RWY 13,LPV,6405, 0.75,250,N,1.0,Y,56609
KGLR,6,5.583333333333333,6.0,10.0,1.5,3.382553276249565,GAYLORD RGNL,GAYLORD,MI,RNAV (GPS) RWY 27,LPV,1578,1,250,N,1.0,Y,56327
KMLS,6,6.458333333333333,7.0,10.0,0.75,3.3556544319501476,FRANK WILEY FIELD,MILES CITY,MT,RNAV (GPS) RWY 04,LPV,2879,1,250,N,1.0,N,42600
KCBK,6,4.875,4.0,10.0,1.75,3.153371211893709,SHALZ FIELD,COLBY,KS,RNAV (GPS) RWY 35,LPV,3425,1,250,N,1.0,N,81909
KATS,6,5.75,6.0,10.0,1.0,3.5742132001323035,ARTESIA MUNI,ARTESIA,NM,RNAV (GPS) RWY 31,LPV,3720, 0.75,200,N,1.0,N,82535
KAPC,6,5.458333333333333,5.5,10.0,0.75,3.7895140409644434,NAPA COUNTY,NAPA,CA,RNAV (GPS) Z RWY 36L,LPV,267, 0.75,250,Y,,Y,40313
KARB,6,6.333333333333333,6.0,10.0,3.0,2.804757862395017,ANN ARBOR MUNI,ANN ARBOR,MI,RNAV (GPS) RWY 06,LPV,1081,1,250,N,1.0,N,77601
KAPN,6,5.416666666666667,4.5,10.0,2.0,3.4701104689428357,ALPENA COUNTY RGNL,ALPENA,MI,RNAV (GPS) RWY 01,LPV,974, 0.5,289,Y,1.0,Y,50310
KJAX,6,6.083333333333333,6.5,10.0,1.5,3.006936425444786,JACKSONVILLE INTL,JACKSONVILLE,FL,RNAV (GPS) Z RWY 32,LPV,336,1,312,N,1.0,Y,40199
KHPN,6,4.125,2.25,10.0,0.25,4.271270302849024,WESTCHESTER COUNTY,WHITE PLAINS,NY,RNAV (GPS) Y RWY 16,LPV,689,2400,250,Y,1.0,Y,69519
KPLN,6,6.833333333333333,6.5,10.0,4.0,2.316606713852541,PELLSTON RGNL AIRPORT OF EMMET COUNTY,PELLSTON,MI,RNAV (GPS) RWY 32,LPV,912, 0.5,200,Y,1.0,Y,77813
KMFE,6,7.5,7.5,10.0,5.0,1.8708286933869707,MC ALLEN MILLER INTL,MC ALLEN,TX,RNAV (GPS) RWY 32,LPV,302,0.875,200,Y,1.0,Y,78001
KTWF,6,4.666666666666667,4.0,10.0,0.25,4.2651690079839355,JOSLIN FIELD - MAGIC VALLEY RGNL,TWIN FALLS,ID,RNAV (GPS) RWY 08,LPV,4399, 0.75,250,N,1.0,Y,40211
KTKI,6,7.333333333333333,7.5,10.0,4.0,2.160246899469287,MCKINNEY NATIONAL,DALLAS,TX,RNAV (GPS) RWY 36,LPV,789, 0.75,200,N,1.0,Y,49202
KJFK,6,5.583333333333333,6.5,10.0,0.5,4.005204946899305,JOHN F KENNEDY INTL,NEW YORK,NY,RNAV (GPS) RWY 22R,LPV,269,4000,256,Y,1.0,Y,40019
KPWM,6,3.5833333333333335,2.5,10.0,1.0,3.3229003395628145,PORTLAND INTL JETPORT,PORTLAND,ME,RNAV (GPS) RWY 36,LP,460,1,411,N,1.0,Y,49225
KAGS,6,6.458333333333333,7.5,10.0,0.75,3.472811061181801,AUGUSTA RGNL AT BUSH FIELD,AUGUSTA,GA,RNAV (GPS) RWY 17,LPV,344,2400,200,Y,1.0,Y,77504
KCTB,6,5.791666666666667,7.0,10.0,0.5,4.038615686923759,CUT BANK INTL,CUT BANK,MT,RNAV (GPS) RWY 23,LPV,4040,1,200,N,1.0,N,53337
KMCE,6,4.875,3.5,10.0,1.75,3.3382255765600983,MERCED RGNL/MACREADY FIELD,MERCED,CA,RNAV (GPS) RWY 30,LPV,449, 0.75,294,Y,1.0,Y,93709
KVIS,6,6.833333333333333,6.5,10.0,4.0,2.316606713852541,VISALIA MUNI,VISALIA,CA,RNAV (GPS) RWY 30,LPV,502, 0.5,207,Y,1.0,Y,77623
KAUS,6,5.5,6.0,10.0,0.0,3.937003937005905,AUSTIN-BERGSTROM INTL,AUSTIN,TX,RNAV (GPS) Y RWY 17L,LPV,692,1800,200,Y,1.0,Y,62829
KIND,6,6.0,6.5,10.0,1.0,3.4641016151377544,INDIANAPOLIS INTL,INDIANAPOLIS,IN,RNAV (GPS) Y RWY 14,LPV,996,2400,200,Y,1.0,Y,42602
KMSP,6,5.958333333333333,7.0,10.0,0.75,3.8092540827131325,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,MINNEAPOLIS,MN,RNAV (GPS) Z RWY 12L,LPV,1041,1800,200,Y,1.0,Y,45525
PO1,6,6.833333333333333,7.5,10.0,2.0,2.926886855802026,POPLAR MUNI,POPLAR,MT,RNAV (GPS) RWY 09,LPV,2226,1,200,N,1.0,N,66031
KOAK,6,6.5,7.5,10.0,2.0,3.2710854467592254,METROPOLITAN OAKLAND INTL,OAKLAND,CA,RNAV (GPS) Y RWY 28R,LPV,207,2400,200,Y,1.0,Y,42535
KODO,6,7.0,7.0,10.0,4.0,2.3664319132398464,ODESSA-SCHLEMEYER FIELD,ODESSA,TX,RNAV (GPS) RWY 11,LPV,3176, 0.75,200,N,1.0,N,45618
KFAR,6,5.375,5.5,10.0,1.25,3.3828612150072015,HECTOR INTL,FARGO,ND,RNAV (GPS) RWY 18,LPV,1100,2400,200,Y,1.0,Y,40006
KWLD,6,7.333333333333333,7.5,10.0,4.0,2.160246899469287,STROTHER FIELD,WINFIELD/ARKANSAS CITY,KS,RNAV (GPS) RWY 17,LPV,1408,0.875,250,N,1.0,N,86836
KSJC,6,7.166666666666667,7.5,10.0,3.0,2.48327740429189,NORMAN Y MINETA SAN JOSE INTL,SAN JOSE,CA,RNAV (GPS) Y RWY 12L,LPV,294, 0.75,250,N,1.0,Y,69501
KBHM,6,7.5,7.5,10.0,5.0,1.8708286933869707,BIRMINGHAM-SHUTTLESWORTH INTL,BIRMINGHAM,AL,RNAV (GPS) Y RWY 24,LPV,841,2400,200,Y,1.0,Y,53605
KLNK,6,7.5,7.5,10.0,5.0,1.8708286933869707,LINCOLN,LINCOLN,NE,RNAV (GPS) RWY 17,LPV,1419, 0.75,200,N,1.0,Y,40137
KMYF,6,7.0,7.0,10.0,4.0,2.3664319132398464,MONTGOMERY-GIBBS EXECUTIVE,SAN DIEGO,CA,RNAV (GPS) RWY 28R,LPV,623, 0.5,200,Y,1.0,Y,45710
KBZN,6,6.083333333333333,6.5,10.0,2.0,3.4119886674294024,BOZEMAN YELLOWSTONE INTL,BOZEMAN,MT,RNAV (GPS) Y RWY 12,LPV,4693, 0.5,250,Y,1.0,Y,72816
KHON,5,5.35,6.0,10.0,0.75,4.3430979726457934,HURON RGNL,HURON,SD,RNAV (GPS) RWY 12,LPV,1489, 0.5,200,Y,1.0,Y,70314
KBOS,5,5.95,7.0,10.0,0.75,3.9544278979392202,GENERAL EDWARD LAWRENCE LOGAN INTL,BOSTON,MA,RNAV (GPS) RWY 15R,LPV,217,1800,200,Y,1.0,Y,42925
KDHN,5,6.9,7.0,10.0,2.5,2.924038303442689,DOTHAN RGNL,DOTHAN,AL,RNAV (GPS) RWY 18,LPV,643, 0.75,250,N,1.0,Y,49118
KMAF,5,7.0,8.0,10.0,1.0,3.5355339059327378,MIDLAND INTL AIR AND SPACE PORT,MIDLAND,TX,RNAV (GPS) RWY 22,LPV,3055, 0.75,200,N,1.0,Y,50429
KCOD,5,6.85,8.0,10.0,1.25,3.462296925452813,YELLOWSTONE RGNL,CODY,WY,RNAV (GPS) RWY 22,LPV,5457,1.25,381,N,1.0,N,93600
KDIJ,5,5.7,6.0,10.0,1.5,3.8987177379235853,DRIGGS-REED MEMORIAL,DRIGGS,ID,RNAV (GPS) RWY 04,LP,6500,1,321,N,1.0,N,48827
KEVW,5,4.85,4.0,10.0,0.75,4.03732584763727,EVANSTON-UINTA COUNTY BURNS FIELD,EVANSTON,WY,RNAV (GPS) RWY 23,LPV,7393, 0.5,250,Y,1.0,Y,77905
US-0062,5,4.55,2.5,10.0,0.25,4.604345773288535,AUSTIN EXECUTIVE,AUSTIN,TX,RNAV (GPS) RWY 31,LPV,812, 0.75,200,N,1.0,N,45916
KMBS,5,4.85,5.0,10.0,1.0,3.8389451676209183,MBS INTL,SAGINAW,MI,RNAV (GPS) RWY 23,LPV,861,2400,200,Y,1.0,Y,49010
KCRP,5,6.0,6.0,10.0,2.0,3.1622776601683795,CORPUS CHRISTI INTL,CORPUS CHRISTI,TX,RNAV (GPS) RWY 18,LPV,240, 0.5,200,N,1.0,Y,53635
KMSY,5,7.2,7.0,10.0,5.0,1.9235384061671346,LOUIS ARMSTRONG NEW ORLEANS INTL,NEW ORLEANS,LA,RNAV (GPS) Y RWY 20,LPV,249,4000,250,N,1.0,Y,40007
KBKN,5,7.0,7.0,10.0,4.0,2.23606797749979,BLACKWELL-TONKAWA MUNI,BLACKWELL,OK,RNAV (GPS) RWY 35,LPV,1276,1,250,N,1.0,N,61119
KPTK,5,6.3,7.0,10.0,2.5,3.420526275297414,OAKLAND COUNTY INTL,PONTIAC,MI,RNAV (GPS) RWY 27L,LPV,1174, 0.75,200,N,1.0,Y,70615
KCVN,5,7.8,8.0,10.0,5.0,1.9235384061671343,CLOVIS MUNI,CLOVIS,NM,RNAV (GPS) RWY 22,LP,4520, 0.5,306,N,1.0,Y,99637
KDAY,5,6.1,7.0,10.0,2.0,3.681032463861192,JAMES M COX DAYTON INTL,DAYTON,OH,RNAV (GPS) Z RWY 06L,LPV,1198,1800,200,Y,1.0,Y,42913
KAIA,5,5.8,5.0,10.0,2.0,3.5637059362410923,ALLIANCE MUNI,ALLIANCE,NE,RNAV (GPS) RWY 12,LPV,4180,1,250,N,1.0,Y,61202
KPRX,5,6.3,7.0,10.0,2.5,3.420526275297414,COX FIELD,PARIS,TX,RNAV (GPS) RWY 35,LPV,782, 0.75,250,N,1.0,N,63001
KORD,5,4.3,1.25,10.0,0.25,4.774280050436924,CHICAGO O'HARE INTL,CHIGAGO,IL,RNAV (GPS) RWY 28C,LPV,851,1800,200,Y,1.0,Y,42634
KWDG,5,4.4,3.0,10.0,0.5,3.990613987846983,ENID WOODRING RGNL,ENID,OK,RNAV (GPS) RWY 17,LPV,1415, 0.75,250,N,1.0,Y,50213
KHYS,5,6.5,6.0,10.0,2.5,3.0413812651491097,HAYS RGNL,HAYS,KS,RNAV (GPS) RWY 22,LPV,2240,1,250,N,1.0,Y,50519
KVEL,5,6.8,7.0,10.0,4.0,2.387467277262665,VERNAL RGNL,VERNAL,UT,RNAV (GPS) Z RWY 35,LPV,5575,1,301,N,1.0,N,90241
KGMU,5,4.75,5.0,10.0,0.75,3.9607448794387152,GREENVILLE DOWNTOWN,GREENVILLE,SC,RNAV (GPS) RWY 10,LPV,1269,1,256,N,1.0,Y,49137
KBRD,5,7.8,8.0,10.0,5.0,1.9235384061671346,BRAINERD LAKES RGNL,BRAINERD,MN,RNAV (GPS) RWY 34,LPV,1432, 0.5,200,Y,1.0,Y,70711
KCHS,5,6.6,8.0,10.0,1.0,3.646916505762094,CHARLESTON AFB/INTL,CHARLESTON,SC,RNAV (GPS) Y RWY 21,LPV,290, 0.75,250,N,1.0,Y,40499
KCID,5,3.7,4.0,6.0,1.5,1.9235384061671346,THE EASTERN IOWA,CEDAR RAPIDS,IA,RNAV (GPS) RWY 27,LPV,1112,2400,250,Y,1.0,Y,72902
KSBD,5,6.0,6.0,10.0,3.0,2.7386127875258306,SAN BERNARDINO INTL,SAN BERNARDINO,CA,RNAV (GPS) Z RWY 06,LPV,1353, 0.75,250,Y,1.0,Y,66041
KMLE,5,5.6,5.0,10.0,2.0,3.0495901363953815,MILLARD ,OMAHA,NE,RNAV (GPS) RWY 12,LPV,1387,1.25,336,N,1.0,N,78402
KSBN,5,4.65,4.0,10.0,1.25,3.2958306995353994,SOUTH BEND INTL,SOUTH BEND,IN,RNAV (GPS) RWY 09L,LP,1200,1,412,N,1.0,Y,70542
KORS,5,5.6,6.0,10.0,2.0,3.2093613071762426,ORCAS ISLAND,EASTSOUND,WA,RNAV (GPS) RWY 16,LP,340,1,305,N,1.0,N,40038
KSAW,5,5.6,5.0,10.0,2.0,3.0495901363953815,SAWYER INTL,MARQUETTE,MI,RNAV (GPS) RWY 19,LPV,1404, 0.75,200,N,1.0,Y,86616
KBTM,5,4.95,5.0,10.0,0.75,4.124621194728069,BERT MOONEY,BUTTE,MT,RNAV (GPS) RWY 15,LPV,5825, 0.5,302,Y,1.0,Y,56341
KMSN,5,6.0,6.0,10.0,1.0,3.391164991562634,DANE COUNTY RGNL-TRUAX FIELD,MADISON,WI,RNAV (GPS) RWY 18,LPV,1064,2400,200,Y,1.0,Y,42522
KAVK,5,5.6,7.0,10.0,0.25,4.368209015145681,ALVA RGNL,ALVA,OK,RNAV (GPS) RWY 36,LPV,1721,0.875,250,N,1.0,N,61337
KPOF,4,7.5,7.5,10.0,5.0,2.3804761428476167,POPLAR BLUFF MUNI,POLAR BLUFF,MO,RNAV (GPS) RWY 36,LPV,669,1.25,338,N,1.0,N,56399
KMOD,4,6.75,6.5,10.0,4.0,2.5,MODESTO CITY-CO-HARRY SHAM FLD,MODESTO,CA,RNAV (GPS) RWY 28R,LPV,385, 0.5,297,Y,1.0,Y,70609
KMLC,4,7.75,7.5,10.0,6.0,1.707825127659933,MC ALESTER RGNL,MC ALESTER,OK,RNAV (GPS) RWY 02,LPV,1227,1.125,472,N,1.0,N,50201
KFWA,4,7.25,7.5,10.0,4.0,2.5,FORT WAYNE INTL,FORT WAYNE,IN,RNAV (GPS) RWY 23,LPV,1053,4000,254,N,1.0,Y,69599
KDAB,4,8.0,8.5,10.0,5.0,2.160246899469287,DAYTONA BEACH INTL,DAYTONA BEACH,FL,RNAV (GPS) RWY 25R,LP,440, 0.5,407,Y,1.0,Y,70327
KMKN,4,4.25,2.875,10.0,1.25,4.0155946010522525,COMANCHE COUNTY-CITY,COMMACHE,TX,RNAV (GPS) RWY 35,LP,1720,1,346,N,1.0,N,61136
KINT,4,7.0,7.0,10.0,4.0,2.943920288775949,SMITH REYNOLDS,WINSTON SALEM,NC,RNAV (GPS) RWY 33,LPV,1141,2400,200,Y,1.0,Y,82011
KDUA,4,5.5625,6.0,10.0,0.25,4.0945848385398,DURANT RGNL - EAKER FIELD,DURANT,OK,RNAV (GPS) RWY 35,LPV,940, 0.75,250,N,1.0,N,48918
KEST,4,5.1875,4.5,10.0,1.75,3.4843399661915884,ESTHERVILLE MUNI,ESTERVILLE,IA,RNAV (GPS) RWY 16,LPV,1569,1,250,N,1.0,N,40104
KYKM,4,7.125,8.5,10.0,1.5,3.8378596465564847,YAKIMA AIR TERMINAL/MCALLISTER FIELD,YAKIMA,WA,RNAV (GPS) X RWY 27,LPV,1268,2400,200,Y,1.0,Y,90512
KOJC,4,8.0,8.5,10.0,5.0,2.160246899469287,JOHNSON COUNTY EXECUTIVE,OLATHE,KS,RNAV (GPS) RWY 18,LPV,1346,1,250,N,1.0,N,53700
KUES,4,6.25,6.0,10.0,3.0,2.9860788111948193,WAUKESHA COUNTY,WAUKESHA,WI,RNAV (GPS) RWY 10,LPV,1101,2400,200,Y,1.0,Y,53411
KEMP,4,8.25,8.5,10.0,6.0,1.707825127659933,EMPORIA MUNI,EMPORIA,KS,RNAV (GPS) RWY 01,LPV,1458,1,250,N,1.0,N,97704
KDET,4,7.0,7.0,10.0,4.0,2.943920288775949,COLEMAN A YOUNG MUNI,DETROIT,MI,RNAV (GPS) RWY 33,LPV,936,1,310,Y,1.0,Y,58211
KABY,4,8.5,8.5,10.0,7.0,1.2909944487358058,SOUTHWEST GEORGIA RGNL,ALBANY,GA,RNAV (GPS) RWY 16,LPV,534,1.25,338,N,1.0,Y,48815
KMHR,4,6.5,6.5,10.0,3.0,3.1091263510296048,SACRAMENTO MATHER,SACRAMENTO,CA,RNAV (GPS) RWY 22L,LPV,298, 0.5,200,Y,1.0,Y,40225
KPIH,4,8.5,8.5,10.0,7.0,1.2909944487358056,POCATELLO RGNL,POCATELLO,ID,RNAV (GPS) RWY 21,LPV,4652,2400,200,Y,1.0,Y,78212
KEWR,4,4.6875,4.25,10.0,0.25,5.0471733012978,NEWARK LIBERTY INTL,NEWARK,NJ,RNAV (GPS) RWY 04L,LPV,299,2200,289,Y,1.0,Y,56224
KTME,4,8.5,8.5,10.0,7.0,1.2909944487358056,HOUSTON EXECUTIVE,HOUSTON,TX,RNAV (GPS) RWY 18,LPV,416,1,250,N,1.0,N,49004
KGLS,4,4.9375,4.75,10.0,0.25,5.285100913574562,SCHOLES INTL AT GALVESTON,GALVESTON,TX,RNAV (GPS) RWY 32,LP,340,1,335,N,1.0,Y,40101
KCAG,4,6.625,8.0,10.0,0.5,4.269562819149832,CRAIG-MOFFAT,CRAIG,CO,RNAV (GPS) RWY 07,LP,6800,1,607,N,1.0,N,61341
KCIU,4,8.0,8.5,10.0,5.0,2.160246899469287,CHIPPEWA COUNTY INTL,SAULT STE MARIE,MI,RNAV (GPS) RWY 34,LPV,1046,1,250,N,1.0,Y,56315
KCIC,4,8.25,8.5,10.0,6.0,1.707825127659933,CHICO MUNI,CHICO,CA,RNAV (GPS) RWY 13L,LPV,536,1,296,Y,1.0,Y,65912
KCHK,4,6.25,6.0,10.0,3.0,2.9860788111948193,CHICKASHA MUNI,CHICKASHA,OK,RNAV (GPS) RWY 36,LPV,1390, 0.75,250,N,1.0,N,48930
KSTC,4,7.75,7.5,10.0,6.0,1.707825127659933,ST CLOUD RGNL,ST CLOUD,MN,RNAV (GPS) RWY 31,LPV,1220, 0.5,200,Y,1.0,Y,61213
KTQK,4,6.125,6.0,10.0,2.5,3.17214438511238,SCOTT CITY MUNI,SCOTT CITY,KS,RNAV (GPS) RWY 35,LPV,3213,1,250,N,1.0,N,99301
KAVL,4,5.25,4.5,10.0,2.0,3.403429642777023,ASHEVILLE RGNL,ASHEVILLE,NC,RNAV (GPS) RWY 35,LPV,2336, 0.75,200,Y,1.0,Y,56338
KS67,4,5.5,4.5,10.0,3.0,3.1091263510296048,NAMPA MUNI,NAMPA,ID,RNAV (GPS) RWY 11,LPV,2787,0.875,250,N,1.0,N,78202
KAWM,4,5.5,5.5,10.0,1.0,3.696845502136472,WEST MEMPHIS MUNI,WEST MEMPHIS,AR,RNAV (GPS) RWY 17,LPV,463, 0.5,250,Y,1.0,Y,69316
KLEX,4,5.875,5.5,10.0,2.5,3.1191612120354835,BLUE GRASS,LEXINGTON,KY,RNAV (GPS) RWY 04,LPV,1274,4000,303,Y,1.0,Y,70401
KGRB,4,6.125,6.5,10.0,1.5,4.049176871085447,AUSTIN STRAUBEL INTL,GREEN BAY ,WI,RNAV (GPS) RWY 18,LPV,979,1,284,N,1.0,Y,42802
KARV,4,5.625,5.0,10.0,2.5,3.5443617196894563,LAKELAND/NOBLE F LEE MEMORIAL FIELD,MINOCQUA-WOODRUFF,WI,RNAV (GPS) RWY 36,LPV,1948,1,321,N,1.0,N,49115
KBVX,4,7.75,8.0,10.0,5.0,2.217355782608345,BATESVILLE RGNL,BATESVILLE,AR,RNAV (GPS) RWY 08,LPV,713,1,250,N,1.0,N,97717
KGRI,4,7.5,7.5,10.0,5.0,2.0816659994661326,CENTRAL NEBRASKA RGNL,GRAND ISLAND,NE,RNAV (GPS) RWY 13,LPV,2092, 0.75,250,N,1.0,Y,53399
KHDN,4,7.75,8.5,10.0,4.0,2.6299556396765835,YAMPA VALLEY,HAYDEN,CO,RNAV (GPS) RWY 28,LP,7000,1,394,N,1.0,Y,48825
KSLN,4,8.25,8.5,10.0,6.0,1.707825127659933,SALINA RGNL,SALINA,KS,RNAV (GPS) RWY 17,LPV,1496,1,250,N,1.0,Y,70322
KSCK,4,4.6875,3.5,10.0,1.75,3.659320292076112,STOCKTON METROPOLITAN,STOCKTON,CA,RNAV (GPS) RWY 11L,LPV,229, 0.75,200,N,1.0,Y,72910
KBPG,4,6.0,5.5,10.0,3.0,3.1622776601683795,BIG SPRING MC MAHON-WRINKLE,BIG SPRING,TX,RNAV (GPS) RWY 24,LPV,2823, 0.75,250,N,1.0,N,45632
KBEH,4,7.0,6.5,10.0,5.0,2.160246899469287,SOUTHWEST MICHIGAN RGNL,BENTON HARBOR,MI,RNAV (GPS) RWY 28,LPV,849, 0.5,200,Y,1.0,Y,45822
KSDY,4,5.875,5.75,10.0,2.0,4.2106016988865935,SIDNEY-RICHLAND MUNI,SIDNEY,MT,RNAV (GPS) RWY 19,LP,2360,1,379,N,1.0,N,86818
KSEE,4,7.75,7.5,10.0,6.0,1.7078251276599332,GILLESPIE FIELD,SAN DIEGO/EL CAJON,CA,RNAV (GPS) RWY 17,LP,1360,1.25,981,N,1.0,N,86928
KRPD,4,4.9375,4.5,10.0,0.75,4.322301663080293,RICE LAKE RGNL - CARL's FIELD,RICE LAKE,WI,RNAV (GPS) RWY 01,LPV,1390, 0.5,289,Y,1.0,Y,86217
US-0571,4,8.0,8.5,10.0,5.0,2.160246899469287,WILLISTON BASIN INTL,Williston,ND,RNAV (GPS) RWY 14 ORIG,LPV,2516,0.75,200,N,1.0,Y,40143
KHSG,4,3.8125,2.25,10.0,0.75,4.190142201246476,HOT SPRINGS COUNTY,THERMOPOLIS,WY,RNAV (GPS) RWY 23,LPV,5382,1.75,490,N,1.0,N,53340
KRIC,4,6.125,6.0,10.0,2.5,3.473110997362451,RICHMOND INTL,RICHMOND,VA,RNAV (GPS) RWY 25,LPV,421,5000,261,N,1.0,Y,48939
KGDJ,4,4.625,3.5,10.0,1.5,3.727711541057507,GRANBURY RGNL,GRANBURY,TX,RNAV (GPS) RWY 14,LPV,1075,1,297,N,1.0,N,99618
KSHL,4,7.0,6.5,10.0,5.0,2.160246899469287,SHELDON MUNI,SHELDON,IA,RNAV (GPS) RWY 15,LPV,1669,1,250,N,1.0,N,45828
KRDM,4,5.0625,5.0,10.0,0.25,4.674286933141068,ROBERTS FIELD,REDMOND,OR,RNAV (GPS) RWY 11,LPV,3317,0.875,250,N,1.0,Y,53514
KGBD,4,5.3125,5.0,10.0,1.25,3.9442732748462888,GREAT BEND MUNI,GREAT BEND,KS,RNAV (GPS) RWY 35,LPV,2171, 0.5,288,Y,1.0,Y,65710
KMCI,4,5.375,5.5,10.0,0.5,4.819664580307085,KANSAS CITY INTL,KANSAS CITY,MO,RNAV (GPS) Y RWY 01L,LPV,1214,1800,200,Y,1.0,Y,42808
KGDV,4,8.25,8.5,10.0,6.0,1.707825127659933,DAWSON COMMUNITY,GLENDIVE,MT,RNAV (GPS) RWY 12,LPV,2708,1,250,N,1.0,N,40423
KSUX,4,8.25,8.5,10.0,6.0,1.7078251276599332,SIOUX GATEWAY/COL BUD DAY FIELD,SIOUX CITY,IA,RNAV (GPS) RWY 13,LPV,1295,4000,200,Y,1.0,Y,57911
KJYO,4,6.0,5.5,10.0,3.0,3.1622776601683795,LEESBURG EXECUTIVE ,LEESBURG,VA,RNAV (GPS) RWY 17,LPV,628,1,250,Y,1.0,Y,60902
KMCO,4,7.0,6.5,10.0,5.0,2.160246899469287,ORLANDO INTL,ORLANDO,FL,RNAV (GPS) RWY 36R,LPV,292,1800,200,Y,1.0,Y,40212
KHLC,4,5.875,6.0,10.0,1.5,4.25,HILL CITY MUNI,HILL CITY,KS,RNAV (GPS) RWY 36,LP,2600,1,412,N,1.0,N,99333
KGVL,3,8.333333333333334,9.0,10.0,6.0,2.0816659994661326,LEE GILMER MEMORIAL,GAINESVILLE,GA,RNAV (GPS) RWY 05,LPV,1526,1,250,Y,1.0,Y,42605
KLRJ,3,6.333333333333333,6.0,8.0,5.0,1.5275252316519468,LE MARS MUNI,LE MARS,IA,RNAV (GPS) RWY 36,LPV,1444,1,250,N,1.0,N,42516
KISP,3,6.0,5.0,10.0,3.0,3.605551275463989,LONG ISLAND MAC ARTHUR,NEW YORK,NY,RNAV (GPS) RWY 33L,LPV,339,8-Jul,250,N,1.0,Y,49120
KLKR,3,7.333333333333333,8.0,10.0,4.0,3.055050463303893,LANCASTER COUNTY-MC WHIRTER FIELD,LANCASTER,SC,RNAV (GPS) RWY 24,LPV,736,1,250,N,1.0,N,70416
KFYV,3,9.0,9.0,10.0,8.0,1.0,DRAKE FIELD,FAYETTEVILLE,AR,RNAV (GPS) RWY 34,LP,2120,1,882,N,1.0,N,50330
KLRD,3,5.833333333333333,5.0,10.0,2.5,3.8188130791298667,LAREDO INTL,LAREDO,TX,RNAV (GPS) RWY 14,LPV,758, 0.75,250,N,1.0,Y,65841
KLGU,3,4.166666666666667,1.75,10.0,0.75,5.076498136839344,LOGAN-CACHE,LOGAN,UT,RNAV (GPS) RWY 35,LPV,4677, 0.75,220,N,1.0,Y,57900
KGSO,3,4.416666666666667,1.75,10.0,1.5,4.836923953643817,PIEDMONT TRIAD INTL,GREENSBORO,NC,RNAV (GPS) RWY 05R,LPV,1100,2400,200,Y,1.0,Y,53610
KLLQ,3,7.0,7.0,10.0,4.0,3.0,MONTICELLO MUNI/ELLIS FIELD,MONTICELLO,AR,RNAV (GPS) RWY 21,LPV,514,0.875,259,N,1.0,N,82540
KJQF,3,3.5833333333333335,0.5,10.0,0.25,5.558402048550764,CONCORD RGNL,CONCORD,NC,RNAV (GPS) RWY 20,LPV,955, 0.5,250,Y,1.0,Y,56499
KLOU,3,4.833333333333333,3.0,10.0,1.5,4.536885862938733,BOWMAN FIELD,LOUISVILLE,KY,RNAV (GPS) RWY 33,LP,860,1,333,N,1.0,N,99526
KHRX,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,HEREFORD MUNI,HEREFORD,TX,RNAV (GPS) RWY 02,LPV,3986, 0.75,200,N,1.0,N,50416
KMIA,3,7.0,7.0,10.0,4.0,3.0,MIAMI INTL,MIAMI,FL,RNAV (GPS) Z RWY 30,LPV,285,5000,277,Y,1.0,Y,40105
KMFI,3,7.0,9.0,10.0,2.0,4.358898943540674,MARSHFIELD MUNI,MARSHFIELD,WI,RNAV (GPS) RWY 05,LP,1640,1,382,N,1.0,N,50532
KGRD,3,7.0,9.0,10.0,2.0,4.358898943540674,GREENWOOD COUNTY,GREENWOOD,SC,RNAV (GPS) RWY 09,LPV,938,1,307,N,1.0,N,78239
KICR,3,6.833333333333333,9.0,10.0,1.5,4.645786621588785,WINNER RGNL,WINNER,SD,RNAV (GPS) RWY 13,LPV,2270,1,250,N,1.0,N,61212
KMHK,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,MANHATTAN RGNL,MANHATTAN,KS,RNAV (GPS) RWY 21,LPV,1248, 0.75,200,N,1.0,Y,53319
KM75,3,6.833333333333333,9.0,10.0,1.5,4.645786621588785,MALTA,MALTA,MT,RNAV (GPS) RWY 08,LP,2900,1,646,N,1.0,N,86621
KMKE,3,4.5,3.0,10.0,0.5,4.924428900898052,GENERAL MITCHELL INTL,MILWAUKEE,WI,RNAV (GPS) RWY 25R,LP,1080,1,405,N,1.0,Y,77543
KHYR,3,6.25,8.0,10.0,0.75,4.866980583482946,SAWYER COUNTY,HAYWARD,WI,RNAV (GPS) RWY 21,LPV,1518, 0.75,302,N,1.0,N,49000
KIWA,3,6.083333333333333,7.0,10.0,1.25,4.4464405239847,PHOENIX-MESA GATEWAY,PHOENIX,AZ,RNAV (GPS) RWY 12R,LP,1740,1,391,N,1.0,Y,50325
